commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected,source
2026-06-11T19:00:00Z,Mexico vs South Africa,1-0,2-0,True,False,49.0,0.0,49.0,39.56202976198428,9.437970238015723,manu_pronos
2026-06-12T02:00:00Z,South Korea vs Czech Republic,2-0,2-1,True,False,96.0,0.0,96.0,37.60452098119847,58.39547901880153,manu_pronos
2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,3-0,1-1,False,False,0.0,0.0,0.0,37.52332864887801,-37.52332864887801,manu_pronos
2026-06-13T01:02:00Z,USA vs Paraguay,3-0,4-1,True,False,74.0,0.0,74.0,38.72568463357213,35.27431536642787,manu_pronos
2026-06-13T19:04:00Z,Qatar vs Switzerland,0-1,1-1,False,False,0.0,0.0,0.0,32.78069429635359,-32.78069429635359,manu_pronos
2026-06-13T22:04:00Z,Brazil vs Morocco,1-0,1-1,False,False,0.0,0.0,0.0,38.526171580031686,-38.526171580031686,manu_pronos
2026-06-14T01:00:00Z,Haiti vs Scotland,1-3,0-1,True,False,44.0,0.0,44.0,31.996185367427945,12.003814632572055,manu_pronos
2026-06-14T04:00:00Z,Australia vs Turkey,0-1,2-0,False,False,0.0,0.0,0.0,40.621243040707384,-40.621243040707384,manu_pronos
2026-06-14T17:01:00Z,Germany vs Curaçao,5-0,7-1,True,False,15.0,0.0,15.0,18.980290425488114,-3.980290425488114,manu_pronos
2026-06-14T20:00:00Z,Netherlands vs Japan,2-0,2-2,False,False,0.0,0.0,0.0,39.37149280184134,-39.37149280184134,manu_pronos
2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,0-2,1-0,False,False,0.0,0.0,0.0,38.27972584945709,-38.27972584945709,manu_pronos
2026-06-15T02:00:00Z,Sweden vs Tunisia,3-0,5-1,True,False,72.0,0.0,72.0,37.867512617739436,34.132487382260564,manu_pronos
2026-06-15T16:01:00Z,Spain vs Cape Verde,1-0,0-0,False,False,0.0,0.0,0.0,20.013249591851267,-20.013249591851267,manu_pronos
2026-06-15T19:00:00Z,Belgium vs Egypt,1-0,1-1,False,False,0.0,0.0,0.0,38.45170022426491,-38.45170022426491,manu_pronos
2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,0-3,1-1,False,False,0.0,0.0,0.0,36.5770712509858,-36.5770712509858,manu_pronos
2026-06-16T01:03:00Z,Iran vs New Zealand,1-1,2-2,True,False,116.0,0.0,116.0,37.509772425567355,78.49022757443265,manu_pronos
2026-06-16T19:02:00Z,France vs Senegal,1-0,3-1,True,False,46.0,0.0,46.0,37.386789937167556,8.613210062832444,manu_pronos
2026-06-16T22:00:00Z,Iraq vs Norway,0-2,1-4,True,False,30.0,0.0,30.0,28.915862974682767,1.0841370253172329,manu_pronos
2026-06-17T01:02:00Z,Argentina vs Algeria,1-0,3-0,True,False,43.0,0.0,43.0,34.975620381378924,8.024379618621076,manu_pronos
2026-06-17T04:02:00Z,Austria vs Jordan,3-0,3-1,True,False,38.0,0.0,38.0,31.80367454498136,6.196325455018641,manu_pronos
2026-06-17T17:01:00Z,Portugal vs DR Congo,5-0,1-1,False,False,0.0,0.0,0.0,27.697734361099403,-27.697734361099403,manu_pronos
2026-06-17T20:00:00Z,England vs Croatia,3-0,4-2,True,False,59.0,0.0,59.0,36.24299978389167,22.75700021610833,manu_pronos
2026-06-17T23:00:00Z,Ghana vs Panama,1-0,1-0,True,True,73.0,20.0,93.0,36.940460986276314,56.059539013723686,manu_pronos
2026-06-18T02:00:00Z,Uzbekistan vs Colombia,0-4,1-3,True,False,44.0,0.0,44.0,33.26142129487659,10.738578705123409,manu_pronos
2026-06-18T16:00:00Z,Czech Republic vs South Africa,1-3,1-1,False,False,0.0,0.0,0.0,34.75520412468031,-34.75520412468031,manu_pronos
2026-06-18T19:00:00Z,Switzerland vs Bosnia & Herzegovina,1-0,4-1,True,False,76.0,0.0,76.0,52.58753066133279,23.412469338667208,manu_pronos
2026-06-18T22:00:00Z,Canada vs Qatar,4-0,6-0,True,False,71.0,0.0,71.0,57.547453172891686,13.452546827108314,manu_pronos
2026-06-19T01:00:00Z,Mexico vs South Korea,0-2,1-0,False,False,0.0,0.0,0.0,32.95121145221038,-32.95121145221038,manu_pronos
2026-06-19T19:00:00Z,USA vs Australia,1-0,2-0,True,False,58.0,0.0,58.0,39.998140401346745,18.001859598653255,manu_pronos
2026-06-19T22:00:00Z,Scotland vs Morocco,0-3,0-1,True,False,91.0,0.0,91.0,53.58596800404024,37.41403199595976,manu_pronos
2026-06-20T00:32:00Z,Brazil vs Haiti,4-0,3-0,True,False,21.0,0.0,21.0,21.939631167241952,-0.9396311672419522,manu_pronos
2026-06-20T03:00:00Z,Turkey vs Paraguay,1-0,0-1,False,False,0.0,0.0,0.0,44.842956894105264,-44.842956894105264,manu_pronos
2026-06-20T17:00:00Z,Netherlands vs Sweden,3-0,5-1,True,False,67.0,0.0,67.0,41.26169896529925,25.738301034700747,manu_pronos
2026-06-20T20:00:00Z,Germany vs Ivory Coast,0-0,2-1,False,False,0.0,0.0,0.0,31.697468638282558,-31.697468638282558,manu_pronos
2026-06-21T00:00:00Z,Ecuador vs Curaçao,5-0,0-0,False,False,0.0,0.0,0.0,39.889566289643746,-39.889566289643746,manu_pronos
2026-06-21T04:00:00Z,Tunisia vs Japan,0-1,0-4,True,False,91.0,0.0,91.0,63.35894370528301,27.64105629471699,manu_pronos
2026-06-21T16:00:00Z,Spain vs Saudi Arabia,4-0,4-0,True,True,31.0,50.0,81.0,31.689423877334434,49.310576122665566,manu_pronos
2026-06-21T19:00:00Z,Belgium vs Iran,0-0,0-0,True,True,138.0,50.0,188.0,31.6038330905524,156.3961669094476,manu_pronos
2026-06-21T22:00:00Z,Uruguay vs Cape Verde,4-0,2-2,False,False,0.0,0.0,0.0,49.61435439902291,-49.61435439902291,manu_pronos
